pair_id,sensor,image_id,image_filename,image_url,latitude,longitude,lines,line_samples,sample_bits,sample_type,scaling_factor,offset,label_url
TC1W2B0_01_05866S094E1825__TC2W2B0_01_05866S094E1825,TC1,TC1W2B0_01_05866S094E1825,TC1W2B0_01_05866S094E1825.img.gz,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20090131/data/TC1W2B0_01_05866S094E1825.img.gz,-9.3646,182.5238,3088,4096,16,MSB_INTEGER,0.013,0,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20090131/data/TC1W2B0_01_05866S094E1825.lbl
TC1W2B0_01_05866S094E1825__TC2W2B0_01_05866S094E1825,TC2,TC2W2B0_01_05866S094E1825,TC2W2B0_01_05866S094E1825.img.gz,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20090131/data/TC2W2B0_01_05866S094E1825.img.gz,-9.3649,182.5245,4656,4096,16,MSB_INTEGER,0.013,0,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20090131/data/TC2W2B0_01_05866S094E1825.lbl
TC1W2B0_01_05628S667E2517__TC2W2B0_01_05628S667E2517,TC1,TC1W2B0_01_05628S667E2517,TC1W2B0_01_05628S667E2517.img.gz,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20090112/data/TC1W2B0_01_05628S667E2517.img.gz,-66.6959,251.6907,4656,3496,16,MSB_INTEGER,0.013,0,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20090112/data/TC1W2B0_01_05628S667E2517.lbl
TC1W2B0_01_05628S667E2517__TC2W2B0_01_05628S667E2517,TC2,TC2W2B0_01_05628S667E2517,TC2W2B0_01_05628S667E2517.img.gz,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20090112/data/TC2W2B0_01_05628S667E2517.img.gz,-66.699,251.6901,4656,3496,16,MSB_INTEGER,0.013,0,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20090112/data/TC2W2B0_01_05628S667E2517.lbl
TC1W2B0_01_05867S094E1815__TC2W2B0_01_05867S094E1815,TC1,TC1W2B0_01_05867S094E1815,TC1W2B0_01_05867S094E1815.img.gz,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20090131/data/TC1W2B0_01_05867S094E1815.img.gz,-9.3877,181.501,3088,4096,16,MSB_INTEGER,0.013,0,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20090131/data/TC1W2B0_01_05867S094E1815.lbl
TC1W2B0_01_05867S094E1815__TC2W2B0_01_05867S094E1815,TC2,TC2W2B0_01_05867S094E1815,TC2W2B0_01_05867S094E1815.img.gz,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20090131/data/TC2W2B0_01_05867S094E1815.img.gz,-9.385,181.5025,4656,4096,16,MSB_INTEGER,0.013,0,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20090131/data/TC2W2B0_01_05867S094E1815.lbl
TC1W2B0_01_05827N034E2236__TC2W2B0_01_05827N034E2236,TC1,TC1W2B0_01_05827N034E2236,TC1W2B0_01_05827N034E2236.img.gz,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20090127/data/TC1W2B0_01_05827N034E2236.img.gz,3.3652,223.5562,4656,4096,16,MSB_INTEGER,0.013,0,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20090127/data/TC1W2B0_01_05827N034E2236.lbl
TC1W2B0_01_05827N034E2236__TC2W2B0_01_05827N034E2236,TC2,TC2W2B0_01_05827N034E2236,TC2W2B0_01_05827N034E2236.img.gz,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20090127/data/TC2W2B0_01_05827N034E2236.img.gz,3.3661,223.5605,4656,4096,16,MSB_INTEGER,0.013,0,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20090127/data/TC2W2B0_01_05827N034E2236.lbl
TC1W2B0_01_00874N004E1572__TC2W2B0_01_00874N004E1572,TC1,TC1W2B0_01_00874N004E1572,TC1W2B0_01_00874N004E1572.img.gz,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20071220/data/TC1W2B0_01_00874N004E1572.img.gz,0.4415,157.1957,4656,3496,16,MSB_INTEGER,0.013,0,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20071220/data/TC1W2B0_01_00874N004E1572.lbl
TC1W2B0_01_00874N004E1572__TC2W2B0_01_00874N004E1572,TC2,TC2W2B0_01_00874N004E1572,TC2W2B0_01_00874N004E1572.img.gz,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20071220/data/TC2W2B0_01_00874N004E1572.img.gz,0.4427,157.2001,4656,3496,16,MSB_INTEGER,0.013,0,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20071220/data/TC2W2B0_01_00874N004E1572.lbl
